DATE,BAMLCC0A0CMTRIV,BAMLHYH0A0HYM2TRIV,CORESTICKM159SFRBATL,CSUSHPINSA,GDP,GS1,GS10,GS30,GS5,PCEPI,PCEPILFE,SPY,T10Y2YM,UNRATE,WFRBST01134,WILL5000INDFC,WILLSMLCAP
2009-02-01,1579.22,457.96,2.5594949000000002,-0.007472039128284758,-0.0034415730521607517,0.62,2.87,3.59,1.87,93.369,94.677,0.07561202488840801,1.89,8.3,0.0,0.0012832852101378744,0.007499859659783947
2009-03-01,1554.62,442.09,2.4535819,0.002928047831606273,-0.0034415730521607517,0.64,2.82,3.64,1.82,93.26700000000001,94.745,0.09934609278217144,1.89,8.7,0.3000000000000007,-0.048484848484848464,-0.05675709302583931
2009-04-01,1554.89,455.81,2.3761457000000004,0.008350176599089432,0.004703768160121857,0.55,2.93,3.76,1.86,93.40100000000001,94.95700000000001,0.058453455924352575,2.0,9.0,0.0,0.031290322580645125,0.051761632713073664
2009-05-01,1601.94,511.06,2.2888287999999997,0.010980630357022349,0.004703768160121857,0.5,3.29,4.23,2.13,93.49799999999999,95.03,-0.006268259010788535,2.36,9.4,0.0,0.034818530539982184,0.04825260738368509
2009-06-01,1654.34,547.73,2.0898948,0.006348591760849676,0.004703768160121857,0.51,3.72,4.52,2.71,94.053,95.15100000000001,0.07460577731177076,2.54,9.5,0.9000000000000021,0.0030145245272676924,0.006552919524552614
2009-07-01,1719.17,564.2,1.9228668999999998,-0.0005439541486453869,0.014005651094666005,0.48,3.56,4.41,2.46,94.06299999999999,95.23299999999999,0.03693959188218998,2.54,9.5,0.0,-0.02902595590287471,-0.037245704832202464
2009-08-01,1787.09,597.39,1.7701932,-0.006909322607622115,0.014005651094666005,0.46,3.59,4.37,2.57,94.336,95.374,0.0305484777527667,2.47,9.6,0.0,0.01665799062988027,0.02023557996424441
2009-09-01,1827.01,609.31,1.6158958,-0.006964076858813728,0.014005651094666005,0.4,3.4,4.19,2.37,94.48899999999999,95.541,-0.019225287213762262,2.44,9.8,-0.6000000000000014,-0.0030848329048842604,-0.006308689902943643
2009-10-01,1871.05,644.59,1.5209968999999999,-0.004341008056103379,0.00773742960326662,0.37,3.39,4.19,2.33,94.84700000000001,95.89299999999999,0.061606837806234875,2.44,10.0,0.0,-0.00495662949194553,-0.007824708287478499
2009-11-01,1877.52,657.5,1.3714917,-0.008604956130270791,0.00773742960326662,0.31,3.4,4.31,2.23,95.084,95.978,0.013643805464002012,2.6,9.9,0.0,0.005199306759098743,-0.0010712314042635727
2009-12-01,1897.36,664.64,1.3248615,-0.011331946953942684,0.00773742960326662,0.37,3.59,4.49,2.34,95.14,96.06,-0.03634245268588565,2.72,9.9,0.6999999999999993,0.0018509949097640368,0.010619011449946036
2010-01-01,1885.0,684.98,1.1770018999999998,-0.013434204809555485,0.014601265146775509,0.35,3.73,4.6,2.48,95.348,96.20100000000001,0.031194701845560058,2.8,9.8,0.0,0.016848816029143787,0.021821956249075347
2010-02-01,1916.06,694.6,1.0548473999999999,0.0037817622592708493,0.014601265146775509,0.35,3.69,4.62,2.36,95.345,96.285,0.05652882529400083,2.83,9.8,0.0,0.012316988147803798,0.010745556088358256
2010-03-01,1926.96,697.68,0.93183853,0.012569988021950529,0.014601265146775509,0.4,3.73,4.64,2.43,95.48,96.429,0.015470068376068237,2.77,9.9,-0.09999999999999787,0.003376857271499389,0.008099629029998834
2010-04-01,1935.17,718.0,0.87602978,0.011244764478923752,0.010775028065392878,0.45,3.85,4.69,2.58,95.53200000000001,96.478,-0.07945455061786966,2.79,9.9,0.0,0.009780990856899765,0.019098741330231928
2010-05-01,1970.81,734.08,0.7998678000000001,0.004522701923338479,0.010775028065392878,0.37,3.42,4.29,2.18,95.56200000000001,96.585,-0.056231158739202036,2.59,9.6,0.0,0.013836477987421379,0.02067242103621969
2010-06-01,1958.74,706.95,0.78483473,-0.0009410904462392458,0.010775028065392878,0.32,3.2,4.13,2.0,95.522,96.632,0.06830067750144675,2.48,9.4,0.2999999999999972,0.026230269266481088,0.02905603769903032
2010-07-01,2002.22,716.53,0.74959322,-0.007698458952846932,0.011086407286413856,0.29,3.01,3.99,1.76,95.604,96.633,-0.04498049455827957,2.39,9.4,0.0,-0.0053178631858834535,-0.009808495926711958
2010-08-01,2040.8,742.33,0.69562861,-0.0124226571783701,0.011086407286413856,0.26,2.7,3.8,1.47,95.735,96.726,0.08375272212995387,2.18,9.5,0.0,0.020922384701912208,0.01859697056201437
2010-09-01,2073.68,744.6,0.6676135999999999,-0.0102208053552042,0.011086407286413856,0.26,2.65,3.77,1.41,95.83,96.781,0.03820206005963533,2.17,9.5,0.0,0.00985108820160363,0.013280270111510006
2010-10-01,2097.01,767.0,0.67526624,-0.00913860922664167,0.00274163620676382,0.23,2.54,3.87,1.18,96.135,96.928,0.0,2.16,9.4,0.0,-0.0083744900150311,-0.013067477726069754
2010-11-01,2101.0,784.27,0.82600201,-0.008362654331869113,0.00274163620676382,0.25,2.76,4.19,1.35,96.32700000000001,97.054,0.0612710112460293,2.31,9.8,0.0,0.009121061359867344,0.016949130275994314
2010-12-01,2066.83,776.71,0.83710132,-0.01129164148327222,0.00274163620676382,0.29,3.29,4.42,1.93,96.545,97.074,0.023300143141153033,2.67,9.3,0.7000000000000028,0.01211142511102148,0.01304793873475063
2011-01-01,2064.45,789.04,0.96003713,-0.009370932130862151,0.01342486087953687,0.27,3.39,4.52,1.99,96.835,97.28299999999999,0.03473734257974348,2.78,9.1,0.0,0.011976047904191487,0.01741788207578332
2011-02-01,2064.4,806.39,1.1238816,0.0003702520617956395,0.01342486087953687,0.29,3.58,4.65,2.26,97.105,97.45299999999999,-0.004205768120424946,2.81,9.0,0.0,-0.0024204058834481623,-0.002274756382365961
2011-03-01,2084.91,817.36,1.1861013999999999,0.009927791284153996,0.01342486087953687,0.26,3.41,4.51,2.11,97.49600000000001,97.6,0.02896143838785536,2.71,9.0,0.1999999999999993,0.0024159078238243925,0.004564650609530263
2011-04-01,2085.65,821.12,1.21555,0.011008673282409951,0.005794362667350672,0.25,3.46,4.5,2.17,97.90799999999999,97.824,-0.011214535501735344,2.73,9.1,0.0,0.0009064539521392856,0.002192319646742158
2011-05-01,2119.97,832.29,1.2613948999999998,0.00889868154518636,0.005794362667350672,0.19,3.17,4.29,1.84,98.206,98.057,-0.021719741514591884,2.61,9.0,0.0,-0.0031875332034708714,-0.00911208775527905
2011-06-01,2158.68,836.88,1.2990532,0.002789773647910776,0.005794362667350672,0.18,3.0,4.23,1.58,98.186,98.164,-0.020004538758774396,2.59,9.1,-0.3000000000000007,-0.0009179364787955668,-0.0012329472702338196
2011-07-01,2130.81,829.13,1.4236275,-0.0039130831863877225,0.01243545289554393,0.19,3.0,4.27,1.54,98.353,98.309,-0.05497565058415455,2.59,9.0,0.0,-0.0005393743257819938,0.0016566921445702045
2011-08-01,2188.84,838.41,1.6569751,-0.011411563906168376,0.01243545289554393,0.11,2.3,3.65,1.02,98.584,98.505,-0.07421043140066741,2.07,9.0,0.0,-0.02659176029962551,-0.03268245122177915
2011-09-01,2194.38,807.17,1.7268145000000001,-0.012549226642315059,0.01243545289554393,0.1,1.98,3.18,0.9,98.723,98.572,0.10914713019625057,1.77,9.0,-0.1999999999999993,-0.026130653266331568,-0.033958544284697134
2011-10-01,2180.66,775.67,1.8413647000000002,-0.01260756164700272,0.014300794198204068,0.11,2.15,3.13,1.06,98.725,98.619,-0.004063760956175333,1.87,8.8,0.0,-0.03224419604471196,-0.05253419671189618
2011-11-01,2229.78,815.17,1.8407168,-0.010961189486624057,0.014300794198204068,0.11,2.01,3.02,0.91,98.928,98.82799999999999,0.004080342492684963,1.76,8.6,0.0,0.017275615567911018,0.024447421438857253
2011-12-01,2174.01,806.35,2.0478499,-0.0073835136054923875,0.014300794198204068,0.12,1.98,2.98,0.89,98.984,98.992,0.046374557768924296,1.72,8.5,0.5999999999999979,0.0005821851348728481,0.004303529273151474
2012-01-01,2219.45,823.62,2.1159285,-0.001259614811281451,0.008607101552671192,0.12,1.97,3.03,0.84,99.323,99.288,0.043405396711561295,1.73,8.3,0.0,0.014784946236559238,0.013940060101244487
2012-02-01,2264.21,848.97,2.0181912,0.01396279076709539,0.008607101552671192,0.16,1.97,3.11,0.83,99.545,99.426,0.027660150995178826,1.69,8.3,0.0,0.0018079913216415555,0.003740692113883393
2012-03-01,2282.53,867.29,2.1247577,0.019194818576580445,0.008607101552671192,0.19,2.17,3.28,1.02,99.735,99.595,-0.006675683640021246,1.83,8.2,0.10000000000000142,-0.004702194357366851,-0.013376113702130987
2012-04-01,2273.65,866.03,2.1937928,0.018602232845650768,0.0069358362646565475,0.18,2.05,3.18,0.89,99.866,99.74600000000001,-0.06005572531835724,1.76,8.2,0.0,0.007491912140303203,0.010212523289565123
2012-05-01,2299.1,877.03,2.1896842999999997,0.015015525968777862,0.0069358362646565475,0.19,1.8,2.93,0.76,99.75399999999999,99.84700000000001,0.03521719757193886,1.51,8.2,0.0,-0.0015353121801432446,0.0027964230920809463
2012-06-01,2324.17,860.25,2.2407467999999997,0.007745927974743827,0.0069358362646565475,0.19,1.62,2.7,0.71,99.704,99.95,0.011829543931100028,1.33,8.2,0.10000000000000142,-0.0009382623381496423,-0.0028149623580151486
2012-07-01,2327.55,881.89,2.2616531,0.002931778959114561,0.006179463391737583,0.19,1.53,2.59,0.62,99.74,100.053,0.025052623808232036,1.28,8.2,0.0,0.003693281744636012,0.01036133012259022
2012-08-01,2388.22,899.86,2.1718632,-0.0023979986731534893,0.006179463391737583,0.18,1.68,2.77,0.71,100.075,100.116,0.01990646727383205,1.41,8.1,0.0,-0.006656156945174296,-0.004830667110371389
2012-09-01,2402.45,909.63,2.2199385,-0.00268778098741318,0.006179463391737583,0.18,1.72,2.88,0.67,100.37899999999999,100.24,-0.018198200887697302,1.46,7.8,0.09999999999999787,0.0008509189925118843,0.01194694967461607
2012-10-01,2424.1,923.77,2.2070705000000004,-4.167563850554501e-05,0.01270761844453605,0.18,1.75,2.9,0.71,100.677,100.48200000000001,0.005659624803977525,1.47,7.8,0.0,0.0011579818031430822,0.0014268624199083035
2012-11-01,2447.23,931.32,2.1959869,-0.000639053090029984,0.01270761844453605,0.18,1.65,2.8,0.67,100.609,100.59100000000001,0.0018291242418202454,1.38,7.7,0.0,-0.010001666944490784,-0.013873478477411938
2012-12-01,2450.04,937.1,2.1097305,0.003086097962758272,0.01270761844453605,0.16,1.72,2.88,0.7,100.59299999999999,100.664,0.05119017481384258,1.46,7.9,0.3000000000000007,-0.004517316379454628,-0.0019188509537035878
2013-01-01,2449.56,951.96,2.0682971,0.0058829643488202965,0.004239628842297004,0.15,1.91,3.08,0.81,100.787,100.87100000000001,0.012758878011200014,1.64,8.0,0.0,0.025797916322143344,0.026937035570914203
2013-02-01,2428.75,965.48,2.1460169999999996,0.019288528836350682,0.004239628842297004,0.16,1.98,3.17,0.85,101.156,100.992,0.033375087175152585,1.71,7.7,0.0,-0.01147108975352662,-0.011494819572323569
2013-03-01,2452.96,969.66,2.0999025000000002,0.020342786083101142,0.004239628842297004,0.15,1.96,3.16,0.82,101.023,101.085,0.01921232551493368,1.7,7.5,0.0,0.0046253469010175685,0.002483414574058207
2013-04-01,2453.94,980.02,1.9354319,0.019162239855869508,0.012666029164496663,0.12,1.76,2.93,0.71,100.944,101.163,0.023609745523974324,1.53,7.6,0.0,0.003139013452914785,-0.004656986474762315
2013-05-01,2498.94,1000.04,1.9077970000000002,0.016696237659796997,0.012666029164496663,0.12,1.93,3.11,0.84,101.01,101.272,-0.018537773359518672,1.68,7.5,0.0,0.010047281323877,0.01407073932053038
